Update,Genotype,Interior Propagule Count
4096,Wild Type,3
4104,Wild Type,2
4112,Wild Type,0
4120,Wild Type,1
4128,Wild Type,0
4136,Wild Type,0
4144,Wild Type,0
4152,Wild Type,0
4160,Wild Type,0
4168,Wild Type,0
4176,Wild Type,0
4184,Wild Type,0
4192,Wild Type,0
4200,Wild Type,0
4208,Wild Type,0
4216,Wild Type,0
4224,Wild Type,0
4232,Wild Type,0
4240,Wild Type,1
4248,Wild Type,1
4256,Wild Type,1
4264,Wild Type,0
4272,Wild Type,0
4280,Wild Type,0
4288,Wild Type,0
4296,Wild Type,0
4304,Wild Type,0
4312,Wild Type,1
4320,Wild Type,0
4328,Wild Type,0
4336,Wild Type,0
4344,Wild Type,1
4352,Wild Type,0
4360,Wild Type,0
4368,Wild Type,0
4376,Wild Type,0
4384,Wild Type,0
4392,Wild Type,0
4400,Wild Type,0
4408,Wild Type,0
4416,Wild Type,0
4424,Wild Type,0
4432,Wild Type,0
4440,Wild Type,0
4448,Wild Type,1
4456,Wild Type,2
4464,Wild Type,0
4472,Wild Type,0
4480,Wild Type,0
4488,Wild Type,0
4496,Wild Type,0
4504,Wild Type,1
4512,Wild Type,2
4520,Wild Type,0
4528,Wild Type,1
4536,Wild Type,2
4544,Wild Type,0
4552,Wild Type,0
4560,Wild Type,1
4568,Wild Type,0
4576,Wild Type,0
4584,Wild Type,0
4592,Wild Type,0
4600,Wild Type,0
4608,Wild Type,0
4616,Wild Type,0
4624,Wild Type,0
4632,Wild Type,0
4640,Wild Type,0
4648,Wild Type,0
4656,Wild Type,0
4664,Wild Type,1
4672,Wild Type,2
4680,Wild Type,0
4688,Wild Type,1
4696,Wild Type,1
4704,Wild Type,0
4712,Wild Type,1
4720,Wild Type,0
4728,Wild Type,0
4736,Wild Type,1
4744,Wild Type,0
4752,Wild Type,1
4760,Wild Type,0
4768,Wild Type,0
4776,Wild Type,0
4784,Wild Type,0
4792,Wild Type,0
4800,Wild Type,1
4808,Wild Type,0
4816,Wild Type,1
4824,Wild Type,2
4832,Wild Type,1
4840,Wild Type,0
4848,Wild Type,0
4856,Wild Type,0
4864,Wild Type,0
4872,Wild Type,0
4880,Wild Type,1
4888,Wild Type,0
4896,Wild Type,0
4904,Wild Type,0
4912,Wild Type,1
4920,Wild Type,0
4928,Wild Type,2
4936,Wild Type,0
4944,Wild Type,1
4952,Wild Type,0
4960,Wild Type,0
4968,Wild Type,0
4976,Wild Type,0
4984,Wild Type,2
4992,Wild Type,0
5000,Wild Type,0
5008,Wild Type,2
5016,Wild Type,1
5024,Wild Type,1
5032,Wild Type,0
5040,Wild Type,1
5048,Wild Type,0
5056,Wild Type,0
5064,Wild Type,0
5072,Wild Type,0
5080,Wild Type,0
5088,Wild Type,0
5096,Wild Type,0
5104,Wild Type,0
5112,Wild Type,0
5120,Wild Type,0
5128,Wild Type,0
5136,Wild Type,0
5144,Wild Type,0
5152,Wild Type,0
5160,Wild Type,0
5168,Wild Type,0
5176,Wild Type,0
5184,Wild Type,0
5192,Wild Type,0
5200,Wild Type,0
5208,Wild Type,0
5216,Wild Type,0
5224,Wild Type,0
5232,Wild Type,0
5240,Wild Type,0
5248,Wild Type,0
5256,Wild Type,0
5264,Wild Type,0
5272,Wild Type,0
5280,Wild Type,0
5288,Wild Type,0
5296,Wild Type,1
5304,Wild Type,1
5312,Wild Type,0
5320,Wild Type,1
5328,Wild Type,0
5336,Wild Type,1
5344,Wild Type,1
5352,Wild Type,1
5360,Wild Type,0
5368,Wild Type,0
5376,Wild Type,0
5384,Wild Type,0
5392,Wild Type,0
5400,Wild Type,0
5408,Wild Type,1
5416,Wild Type,1
5424,Wild Type,1
5432,Wild Type,0
5440,Wild Type,1
5448,Wild Type,0
5456,Wild Type,1
5464,Wild Type,1
5472,Wild Type,1
5480,Wild Type,0
5488,Wild Type,0
5496,Wild Type,1
5504,Wild Type,0
5512,Wild Type,1
5520,Wild Type,0
5528,Wild Type,0
5536,Wild Type,2
5544,Wild Type,0
5552,Wild Type,0
5560,Wild Type,0
5568,Wild Type,2
5576,Wild Type,1
5584,Wild Type,0
5592,Wild Type,0
5600,Wild Type,1
5608,Wild Type,0
5616,Wild Type,0
5624,Wild Type,1
5632,Wild Type,1
5640,Wild Type,0
5648,Wild Type,0
5656,Wild Type,0
5664,Wild Type,1
5672,Wild Type,0
5680,Wild Type,0
5688,Wild Type,0
5696,Wild Type,1
5704,Wild Type,0
5712,Wild Type,2
5720,Wild Type,0
5728,Wild Type,1
5736,Wild Type,0
5744,Wild Type,1
5752,Wild Type,0
5760,Wild Type,0
5768,Wild Type,0
5776,Wild Type,0
5784,Wild Type,3
5792,Wild Type,0
5800,Wild Type,2
5808,Wild Type,1
5816,Wild Type,0
5824,Wild Type,0
5832,Wild Type,0
5840,Wild Type,0
5848,Wild Type,1
5856,Wild Type,1
5864,Wild Type,1
5872,Wild Type,1
5880,Wild Type,1
5888,Wild Type,1
5896,Wild Type,1
5904,Wild Type,1
5912,Wild Type,0
5920,Wild Type,1
5928,Wild Type,0
5936,Wild Type,1
5944,Wild Type,0
5952,Wild Type,1
5960,Wild Type,1
5968,Wild Type,1
5976,Wild Type,2
5984,Wild Type,3
5992,Wild Type,0
6000,Wild Type,2
6008,Wild Type,3
6016,Wild Type,1
6024,Wild Type,2
6032,Wild Type,1
6040,Wild Type,3
6048,Wild Type,3
6056,Wild Type,0
6064,Wild Type,0
6072,Wild Type,2
6080,Wild Type,2
6088,Wild Type,0
6096,Wild Type,2
6104,Wild Type,1
6112,Wild Type,1
6120,Wild Type,3
6128,Wild Type,1
6136,Wild Type,1
6144,Wild Type,0
6152,Wild Type,0
6160,Wild Type,1
6168,Wild Type,0
6176,Wild Type,3
6184,Wild Type,2
6192,Wild Type,1
6200,Wild Type,0
6208,Wild Type,0
6216,Wild Type,3
6224,Wild Type,1
6232,Wild Type,0
6240,Wild Type,3
6248,Wild Type,0
6256,Wild Type,0
6264,Wild Type,1
6272,Wild Type,0
6280,Wild Type,4
6288,Wild Type,0
6296,Wild Type,1
6304,Wild Type,0
6312,Wild Type,1
6320,Wild Type,0
6328,Wild Type,0
6336,Wild Type,1
6344,Wild Type,3
6352,Wild Type,0
6360,Wild Type,0
6368,Wild Type,0
6376,Wild Type,1
6384,Wild Type,0
6392,Wild Type,0
6400,Wild Type,2
6408,Wild Type,1
6416,Wild Type,2
6424,Wild Type,1
6432,Wild Type,1
6440,Wild Type,1
6448,Wild Type,1
6456,Wild Type,0
6464,Wild Type,2
6472,Wild Type,0
6480,Wild Type,0
6488,Wild Type,0
6496,Wild Type,1
6504,Wild Type,0
6512,Wild Type,1
6520,Wild Type,1
6528,Wild Type,3
6536,Wild Type,0
6544,Wild Type,0
6552,Wild Type,0
6560,Wild Type,0
6568,Wild Type,1
6576,Wild Type,3
6584,Wild Type,0
6592,Wild Type,0
6600,Wild Type,0
6608,Wild Type,1
6616,Wild Type,1
6624,Wild Type,0
6632,Wild Type,1
6640,Wild Type,0
6648,Wild Type,0
6656,Wild Type,0
6664,Wild Type,2
6672,Wild Type,1
6680,Wild Type,0
6688,Wild Type,0
6696,Wild Type,0
6704,Wild Type,0
6712,Wild Type,0
6720,Wild Type,0
6728,Wild Type,0
6736,Wild Type,0
6744,Wild Type,0
6752,Wild Type,0
6760,Wild Type,0
6768,Wild Type,0
6776,Wild Type,0
6784,Wild Type,0
6792,Wild Type,0
6800,Wild Type,0
6808,Wild Type,0
6816,Wild Type,0
6824,Wild Type,0
6832,Wild Type,0
6840,Wild Type,1
6848,Wild Type,0
6856,Wild Type,0
6864,Wild Type,0
6872,Wild Type,0
6880,Wild Type,1
6888,Wild Type,2
6896,Wild Type,0
6904,Wild Type,2
6912,Wild Type,0
6920,Wild Type,0
6928,Wild Type,0
6936,Wild Type,0
6944,Wild Type,0
6952,Wild Type,0
6960,Wild Type,0
6968,Wild Type,1
6976,Wild Type,1
