Genotype,Seed,Fraction Asymmetric Groups
Wild Type,1,0.09210526315789473
Wild Type,10,0.015151515151515152
Wild Type,11,0.06779661016949153
Wild Type,12,0.07042253521126761
Wild Type,13,0.06153846153846154
Wild Type,14,0.07792207792207792
Wild Type,15,0.09722222222222222
Wild Type,16,0.07142857142857142
Wild Type,17,0.015384615384615385
Wild Type,18,0.04225352112676056
Wild Type,19,0.013513513513513514
Wild Type,2,0.015384615384615385
Wild Type,20,0.07142857142857142
Wild Type,3,0.0547945205479452
Wild Type,4,0.09230769230769231
Wild Type,5,0.04285714285714286
Wild Type,6,0.013888888888888888
Wild Type,7,0.025974025974025976
Wild Type,8,0.09722222222222222
Wild Type,9,0.13432835820895522
Messaging Knockout,1,0.04225352112676056
Messaging Knockout,10,0.13636363636363635
Messaging Knockout,11,0.014285714285714285
Messaging Knockout,12,0.0
Messaging Knockout,13,0.013888888888888888
Messaging Knockout,14,0.015625
Messaging Knockout,15,0.047619047619047616
Messaging Knockout,16,0.0
Messaging Knockout,17,0.05405405405405406
Messaging Knockout,18,0.058823529411764705
Messaging Knockout,19,0.013888888888888888
Messaging Knockout,2,0.04225352112676056
Messaging Knockout,20,0.0273972602739726
Messaging Knockout,3,0.0375
Messaging Knockout,4,0.013157894736842105
Messaging Knockout,5,0.0
Messaging Knockout,6,0.02564102564102564
Messaging Knockout,7,0.05405405405405406
Messaging Knockout,8,0.04285714285714286
Messaging Knockout,9,0.05952380952380952
