Genotype,Seed,Propagule Parent Age
Wild Type,1,969.4964028776978
Wild Type,10,1199.817142857143
Wild Type,11,1043.6875
Wild Type,12,1136.0
Wild Type,13,946.5043478260869
Wild Type,14,1088.6477732793521
Wild Type,15,1156.561403508772
Wild Type,16,1092.4790419161677
Wild Type,17,1078.0
Wild Type,18,1122.5
Wild Type,19,1090.914089347079
Wild Type,2,898.2178217821782
Wild Type,20,1089.076923076923
Wild Type,3,981.923875432526
Wild Type,4,1085.953488372093
Wild Type,5,1028.7560137457044
Wild Type,6,934.4947735191638
Wild Type,7,1077.0626865671643
Wild Type,8,933.8430034129693
Wild Type,9,1138.9846153846154
Messaging Knockout,1,969.2154195011337
Messaging Knockout,10,970.4655737704918
Messaging Knockout,11,845.1275964391691
Messaging Knockout,12,878.72
Messaging Knockout,13,831.0153846153846
Messaging Knockout,14,915.1213114754098
Messaging Knockout,15,895.9573333333333
Messaging Knockout,16,975.0864197530864
Messaging Knockout,17,986.754491017964
Messaging Knockout,18,852.8264462809917
Messaging Knockout,19,890.0
Messaging Knockout,2,1005.1891891891892
Messaging Knockout,20,1035.6543209876543
Messaging Knockout,3,984.4658227848101
Messaging Knockout,4,802.1353383458646
Messaging Knockout,5,953.5268817204301
Messaging Knockout,6,929.3866666666667
Messaging Knockout,7,923.899721448468
Messaging Knockout,8,949.5757575757576
Messaging Knockout,9,877.5786350148368
