Genotype,Seed,Fraction Resource Shared
Wild Type,1,0.28556869190805173
Wild Type,10,0.21259898448255324
Wild Type,11,0.2820237261775736
Wild Type,12,0.24157224115724385
Wild Type,13,0.2297403267360907
Wild Type,14,0.270508525569224
Wild Type,15,0.31980541983560284
Wild Type,16,0.31499017556675146
Wild Type,17,0.25767673996123924
Wild Type,18,0.2560517974450967
Wild Type,19,0.2803275138176135
Wild Type,2,0.24579545991296028
Wild Type,20,0.27269541054869995
Wild Type,3,0.2631934301327271
Wild Type,4,0.29531187387224184
Wild Type,5,0.2813283082867608
Wild Type,6,0.26762939527697893
Wild Type,7,0.30199064316383245
Wild Type,8,0.2876110380740951
Wild Type,9,0.2884082956451004
Messaging Knockout,1,0.25102603353518294
Messaging Knockout,10,0.23940212427639293
Messaging Knockout,11,0.22017434620504633
Messaging Knockout,12,0.2040942933651306
Messaging Knockout,13,0.21353381013829642
Messaging Knockout,14,0.2181488642394397
Messaging Knockout,15,0.20676222490999435
Messaging Knockout,16,0.21070281054237308
Messaging Knockout,17,0.23608843417409622
Messaging Knockout,18,0.23786991365753007
Messaging Knockout,19,0.24784579895235098
Messaging Knockout,2,0.2221863860610585
Messaging Knockout,20,0.24654591825607208
Messaging Knockout,3,0.24148702669977015
Messaging Knockout,4,0.21437616593080877
Messaging Knockout,5,0.22565697780592978
Messaging Knockout,6,0.24099373735637117
Messaging Knockout,7,0.2426755231679209
Messaging Knockout,8,0.20375986206727426
Messaging Knockout,9,0.22007361794702104
