Genotype,Seed,Fraction Resevoir
Wild Type,1,0.12941176470588237
Wild Type,1,0.30158730158730157
Wild Type,1,0.3269230769230769
Wild Type,1,0.0
Wild Type,1,0.2403846153846154
Wild Type,1,0.32407407407407407
Wild Type,1,0.15
Wild Type,1,0.3170731707317073
Wild Type,1,0.28205128205128205
Wild Type,1,0.125
Wild Type,1,0.20212765957446807
Wild Type,1,0.23333333333333334
Wild Type,1,0.21428571428571427
Wild Type,1,0.16
Wild Type,1,0.08163265306122448
Wild Type,1,0.125
Wild Type,1,0.0
Wild Type,1,0.0
Wild Type,1,0.19047619047619047
Wild Type,1,0.24489795918367346
Wild Type,1,0.2903225806451613
Wild Type,1,0.17391304347826086
Wild Type,1,0.2830188679245283
Wild Type,1,0.24
Wild Type,1,0.4027777777777778
Wild Type,1,0.3125
Wild Type,1,0.0
Wild Type,1,0.2
Wild Type,1,0.18421052631578946
Wild Type,1,0.0
Wild Type,1,0.19148936170212766
Wild Type,1,0.23595505617977527
Wild Type,1,0.06666666666666667
Wild Type,1,0.11290322580645161
Wild Type,1,0.29850746268656714
Wild Type,1,0.27956989247311825
Wild Type,1,0.27941176470588236
Wild Type,1,0.0
Wild Type,1,0.2647058823529412
Wild Type,1,0.25961538461538464
Wild Type,1,0.171875
Wild Type,1,0.3142857142857143
Wild Type,1,0.0
Wild Type,1,0.20512820512820512
Wild Type,1,0.1702127659574468
Wild Type,1,0.3058823529411765
Wild Type,1,0.3
Wild Type,1,0.29411764705882354
Wild Type,1,0.08333333333333333
Wild Type,1,0.058823529411764705
Wild Type,1,0.037037037037037035
Wild Type,1,0.16666666666666666
Wild Type,1,0.07407407407407407
Wild Type,1,0.0
Messaging Knockout,1,0.07894736842105263
Messaging Knockout,1,0.05263157894736842
Messaging Knockout,1,0.16129032258064516
Messaging Knockout,1,0.08333333333333333
Messaging Knockout,1,0.08333333333333333
Messaging Knockout,1,0.11363636363636363
Messaging Knockout,1,0.10344827586206896
Messaging Knockout,1,0.15789473684210525
Messaging Knockout,1,0.15517241379310345
Messaging Knockout,1,0.07272727272727272
Messaging Knockout,1,0.05555555555555555
Messaging Knockout,1,0.0
Messaging Knockout,1,0.0
Messaging Knockout,1,0.0
Messaging Knockout,1,0.40476190476190477
Messaging Knockout,1,0.017857142857142856
Messaging Knockout,1,0.15384615384615385
Messaging Knockout,1,0.0
Messaging Knockout,1,0.0
Messaging Knockout,1,0.058823529411764705
Messaging Knockout,1,0.041666666666666664
Messaging Knockout,1,0.057692307692307696
Messaging Knockout,1,0.037037037037037035
Messaging Knockout,1,0.34285714285714286
Messaging Knockout,1,0.07792207792207792
Messaging Knockout,1,0.09090909090909091
Messaging Knockout,1,0.10294117647058823
Messaging Knockout,1,0.0
Messaging Knockout,1,0.1388888888888889
Messaging Knockout,1,0.0
Messaging Knockout,1,0.21428571428571427
Messaging Knockout,1,0.10909090909090909
Messaging Knockout,1,0.05555555555555555
Messaging Knockout,1,0.1134020618556701
Messaging Knockout,1,0.08888888888888889
Messaging Knockout,1,0.06666666666666667
Messaging Knockout,1,0.05263157894736842
Messaging Knockout,1,0.0
Messaging Knockout,1,0.07142857142857142
Messaging Knockout,1,0.1206896551724138
Messaging Knockout,1,0.0
Messaging Knockout,1,0.12121212121212122
Messaging Knockout,1,0.13513513513513514
Messaging Knockout,1,0.13114754098360656
Messaging Knockout,1,0.0
Messaging Knockout,1,0.0
Messaging Knockout,1,0.0
Messaging Knockout,1,0.0
Messaging Knockout,1,0.0
Messaging Knockout,1,0.0
Messaging Knockout,1,0.09230769230769231
Messaging Knockout,1,0.0
Messaging Knockout,1,0.0
Messaging Knockout,1,0.09090909090909091
Messaging Knockout,1,0.06976744186046512
Messaging Knockout,1,0.13333333333333333
Messaging Knockout,1,0.0
Messaging Knockout,1,0.0
Messaging Knockout,1,0.0
Messaging Knockout,1,0.17045454545454544
Messaging Knockout,1,0.0
Messaging Knockout,1,0.0
Messaging Knockout,1,0.06172839506172839
Messaging Knockout,1,0.0
Messaging Knockout,1,0.03225806451612903
Messaging Knockout,1,0.1111111111111111
Messaging Knockout,1,0.0
Messaging Knockout,1,0.0
Messaging Knockout,1,0.0
