Genotype,Seed,Cardinal Resource-Sharing Standard Deviation
Wild Type,1,0.32822035181204895
Wild Type,1,0.26061328780441123
Wild Type,1,0.22456878532364674
Wild Type,1,0.4330127018922193
Wild Type,1,0.2371265170041815
Wild Type,1,0.2708378142919582
Wild Type,1,0.1151304759614593
Wild Type,1,0.20173962274276042
Wild Type,1,0.2558446538548178
Wild Type,1,0.27229886111701335
Wild Type,1,0.25885446942320334
Wild Type,1,0.35678822301715996
Wild Type,1,0.4005709054934691
Wild Type,1,0.2602063054555303
Wild Type,1,0.3718247163819712
Wild Type,1,0.25375793356919857
Wild Type,1,0.2637019357033475
Wild Type,1,0.3318616004799812
Wild Type,1,0.27070361517498626
Wild Type,1,0.349532444565421
Wild Type,1,0.29353933793278125
Wild Type,1,0.23240045735301348
Wild Type,1,0.32420034565099387
Wild Type,1,0.3363264381061306
Wild Type,1,0.29811551090501703
Wild Type,1,0.22919495258778308
Wild Type,1,0.20705459021887188
Wild Type,1,0.22120503299231023
Wild Type,1,0.3888053770859526
Wild Type,1,0.2867156703845945
Wild Type,1,0.40167956400430127
Wild Type,1,0.23300240259765784
Wild Type,1,0.25
Wild Type,1,0.21889687174548017
Wild Type,1,0.3450296164219208
Wild Type,1,0.26358674943888605
Wild Type,1,0.25914777008368634
Wild Type,1,0.3130837673497109
Wild Type,1,0.24409839922813795
Wild Type,1,0.2166960690695842
Wild Type,1,0.36000519500792083
Wild Type,1,0.1918192038308962
Wild Type,1,0.2763853991962833
Wild Type,1,0.22036867531551077
Wild Type,1,0.21021845600405778
Wild Type,1,0.2574061724096939
Wild Type,1,0.25050921597910064
Wild Type,1,0.4244064870728066
Wild Type,1,0.4330127018922193
Wild Type,1,0.25297653523864894
Wild Type,1,0.20977605608306224
Wild Type,1,0.3577579614220322
Wild Type,1,0.3034664576556928
Wild Type,1,0.20422631025602175
Messaging Knockout,1,0.08831435970701114
Messaging Knockout,1,0.11610585809107386
Messaging Knockout,1,0.18815936553932003
Messaging Knockout,1,0.08398668722191896
Messaging Knockout,1,0.15009961052556556
Messaging Knockout,1,0.1425103476591332
Messaging Knockout,1,0.19925664314240965
Messaging Knockout,1,0.08867775608294676
Messaging Knockout,1,0.20494290007921884
Messaging Knockout,1,0.12736928708011203
Messaging Knockout,1,0.14887725334209453
Messaging Knockout,1,0.1669128403510262
Messaging Knockout,1,0.18976970651606787
Messaging Knockout,1,0.16481961575670306
Messaging Knockout,1,0.27328115723245244
Messaging Knockout,1,0.28230057219445626
Messaging Knockout,1,0.20636117177970975
Messaging Knockout,1,0.16929172450090657
Messaging Knockout,1,0.30722529683286537
Messaging Knockout,1,0.13340674571436206
Messaging Knockout,1,0.21891458418774978
Messaging Knockout,1,0.1170164716992083
Messaging Knockout,1,0.08505386009385824
Messaging Knockout,1,0.13840656684486238
Messaging Knockout,1,0.1782969983711262
Messaging Knockout,1,0.15277172788066432
Messaging Knockout,1,0.15113285837026294
Messaging Knockout,1,0.20652161439681263
Messaging Knockout,1,0.09123136139367881
Messaging Knockout,1,0.12896637675611086
Messaging Knockout,1,0.31208777388558945
Messaging Knockout,1,0.1322187067314106
Messaging Knockout,1,0.15378259610253892
Messaging Knockout,1,0.18821785586064457
Messaging Knockout,1,0.15140543835820636
Messaging Knockout,1,0.23046184960937088
Messaging Knockout,1,0.0834381028483042
Messaging Knockout,1,0.15307560825016592
Messaging Knockout,1,0.025058395960246664
Messaging Knockout,1,0.1344680783747714
Messaging Knockout,1,0.12604386593588057
Messaging Knockout,1,0.12099027594970987
Messaging Knockout,1,0.08396823951778187
Messaging Knockout,1,0.1042279659268175
Messaging Knockout,1,0.29622825775780187
Messaging Knockout,1,0.14729187483778228
Messaging Knockout,1,0.15064336634177086
Messaging Knockout,1,0.10952477748315713
Messaging Knockout,1,0.17773795074125937
Messaging Knockout,1,0.2174080843702673
Messaging Knockout,1,0.19140381083169486
Messaging Knockout,1,0.17172962774901937
Messaging Knockout,1,0.09167734446131444
Messaging Knockout,1,0.2991984269827322
Messaging Knockout,1,0.13433518098058417
Messaging Knockout,1,0.24488115551654843
Messaging Knockout,1,0.23121545791831474
Messaging Knockout,1,0.16426073014746567
Messaging Knockout,1,0.2024140328610867
Messaging Knockout,1,0.1394932348581043
Messaging Knockout,1,0.2920101492433988
Messaging Knockout,1,0.13500731677809555
Messaging Knockout,1,0.09347764452445535
Messaging Knockout,1,0.2754707242628631
Messaging Knockout,1,0.2505450382253047
Messaging Knockout,1,0.2548585192953822
Messaging Knockout,1,0.06892632803887513
Messaging Knockout,1,0.21319263824136162
Messaging Knockout,1,0.35309174720983594
