Genotype,Seed,Quadrant Resource-Sharing Standard Deviation
Wild Type,1,0.2360249309105121
Wild Type,1,0.24042651793255204
Wild Type,1,0.1647913562128872
Wild Type,1,0.22531418925956662
Wild Type,1,0.2993647898855215
Wild Type,1,0.2036994295253765
Wild Type,1,0.26300390651753636
Wild Type,1,0.15487406162377615
Wild Type,1,0.18858312255837456
Wild Type,1,0.18742928346115378
Wild Type,1,0.3577579614220322
Wild Type,1,0.4330127018922193
Wild Type,1,0.24451790583915295
Wild Type,1,0.07952642153603438
Wild Type,1,0.20822787300137993
Wild Type,1,0.25999396482599724
Wild Type,1,0.23592893073134094
Wild Type,1,0.2175967199654423
Wild Type,1,0.152837451563932
Wild Type,1,0.22871196842657612
Wild Type,1,0.172554609519884
Wild Type,1,0.2248682743940822
Wild Type,1,0.2625186461408954
Wild Type,1,0.20502587216900986
Wild Type,1,0.15006131167983108
Wild Type,1,0.2865993327384618
Wild Type,1,0.18551117128900022
Wild Type,1,0.34607415033883654
Wild Type,1,0.22574686297317828
Wild Type,1,0.25988607055025814
Wild Type,1,0.28497041044940297
Wild Type,1,0.3898071634546711
Wild Type,1,0.21007669442024632
Wild Type,1,0.2108337874292919
Wild Type,1,0.20482894286648087
Wild Type,1,0.13635938222753946
Wild Type,1,0.3017818269393186
Wild Type,1,0.24129108958531748
Wild Type,1,0.23772035525375726
Wild Type,1,0.2763853991962833
Wild Type,1,0.17923901190390118
Wild Type,1,0.25306759942067497
Wild Type,1,0.3353037365141615
Wild Type,1,0.2336377107660382
Wild Type,1,0.20391570419546076
Wild Type,1,0.14778929019706072
Wild Type,1,0.40458980936632255
Wild Type,1,0.22100410561709896
Wild Type,1,0.21009567070325072
Wild Type,1,0.17663418295106134
Wild Type,1,0.26428204315917614
Wild Type,1,0.09934222121754196
Messaging Knockout,1,0.2410612164013217
Messaging Knockout,1,0.09905969305323459
Messaging Knockout,1,0.06427687284695144
Messaging Knockout,1,0.08732605300915633
Messaging Knockout,1,0.12597122816114686
Messaging Knockout,1,0.03370413824592161
Messaging Knockout,1,0.15409706611855795
Messaging Knockout,1,0.13776735396957834
Messaging Knockout,1,0.16416038869856917
Messaging Knockout,1,0.12924578390793182
Messaging Knockout,1,0.06753549868237424
Messaging Knockout,1,0.1500137274904003
Messaging Knockout,1,0.2479155608952519
Messaging Knockout,1,0.2594750827678466
Messaging Knockout,1,0.27450246820244634
Messaging Knockout,1,0.17133457853999362
Messaging Knockout,1,0.11724294084190715
Messaging Knockout,1,0.1123203977497487
Messaging Knockout,1,0.1479456482938646
Messaging Knockout,1,0.1543142816316173
Messaging Knockout,1,0.008309626009095059
Messaging Knockout,1,0.38474580330313635
Messaging Knockout,1,0.19570016670567955
Messaging Knockout,1,0.1957875179558474
Messaging Knockout,1,0.06005019291503427
Messaging Knockout,1,0.1714062066953339
Messaging Knockout,1,0.3379414429529945
Messaging Knockout,1,0.1674792870989379
Messaging Knockout,1,0.09229520227914517
Messaging Knockout,1,0.23068969850346502
Messaging Knockout,1,0.31156659675799503
Messaging Knockout,1,0.17292688310997756
Messaging Knockout,1,0.11475927506503873
Messaging Knockout,1,0.21761085355141369
Messaging Knockout,1,0.18849272318430998
Messaging Knockout,1,0.2981613512851458
Messaging Knockout,1,0.0734946646262863
Messaging Knockout,1,0.11061098560577774
Messaging Knockout,1,0.20172188855932927
Messaging Knockout,1,0.19950187000623582
Messaging Knockout,1,0.028991712738055075
Messaging Knockout,1,0.18104103260915694
Messaging Knockout,1,0.2135901018204053
Messaging Knockout,1,0.2274161441011131
Messaging Knockout,1,0.19524032398336288
Messaging Knockout,1,0.03213535372506771
Messaging Knockout,1,0.07587177010463482
Messaging Knockout,1,0.14977251188615984
Messaging Knockout,1,0.17932130997893447
Messaging Knockout,1,0.25809216367873355
Messaging Knockout,1,0.1384719383096542
Messaging Knockout,1,0.2251307108128866
Messaging Knockout,1,0.22670458077168004
Messaging Knockout,1,0.21346984330901864
Messaging Knockout,1,0.20344819455911117
Messaging Knockout,1,0.14504620721764266
Messaging Knockout,1,0.19104313775222662
Messaging Knockout,1,0.3090887294204128
Messaging Knockout,1,0.1525681614147437
Messaging Knockout,1,0.15921504379302354
Messaging Knockout,1,0.07946928323374824
Messaging Knockout,1,0.17219847886846013
Messaging Knockout,1,0.05547556075203762
Messaging Knockout,1,0.13288949423698165
Messaging Knockout,1,0.12781786184599747
Messaging Knockout,1,0.10297769286258246
Messaging Knockout,1,0.1809090307529275
Messaging Knockout,1,0.14905124273768233
