Genotype,Perimeter,Area,Level 1 Size,Shape Factor
Wild Type,10,4,37,5.0
Wild Type,14,6,159,5.715476066494083
Wild Type,6,2,159,4.242640687119285
Wild Type,12,5,159,5.366563145999495
Wild Type,16,7,159,6.047431568147635
Wild Type,14,6,159,5.715476066494083
Wild Type,6,2,159,4.242640687119285
Wild Type,6,2,159,4.242640687119285
Wild Type,8,3,159,4.618802153517007
Wild Type,8,3,159,4.618802153517007
Wild Type,6,2,159,4.242640687119285
Wild Type,4,1,28,4.0
Wild Type,4,1,28,4.0
Wild Type,4,1,28,4.0
Wild Type,20,9,28,6.666666666666667
Wild Type,8,3,28,4.618802153517007
Wild Type,12,4,143,6.0
Wild Type,6,2,143,4.242640687119285
Wild Type,10,5,79,4.47213595499958
Wild Type,8,3,79,4.618802153517007
Wild Type,6,2,79,4.242640687119285
Wild Type,6,2,79,4.242640687119285
Wild Type,6,2,79,4.242640687119285
Wild Type,4,1,79,4.0
Wild Type,4,1,111,4.0
Wild Type,4,1,111,4.0
Wild Type,6,2,111,4.242640687119285
Wild Type,10,4,111,5.0
Wild Type,6,2,111,4.242640687119285
Wild Type,4,1,111,4.0
Wild Type,4,1,60,4.0
Wild Type,4,1,60,4.0
Wild Type,12,5,60,5.366563145999495
Wild Type,8,4,60,4.0
Wild Type,8,3,60,4.618802153517007
Wild Type,4,1,60,4.0
Wild Type,4,1,60,4.0
Wild Type,6,2,37,4.242640687119285
Wild Type,8,3,37,4.618802153517007
Wild Type,12,5,37,5.366563145999495
Wild Type,6,2,37,4.242640687119285
Wild Type,16,6,159,6.531972647421809
Wild Type,8,3,159,4.618802153517007
Wild Type,4,1,159,4.0
Wild Type,4,1,159,4.0
Wild Type,4,1,159,4.0
Wild Type,4,1,28,4.0
Wild Type,8,3,28,4.618802153517007
Wild Type,4,1,28,4.0
Wild Type,4,1,28,4.0
Wild Type,4,1,79,4.0
Wild Type,4,1,79,4.0
Wild Type,4,1,79,4.0
Wild Type,4,1,79,4.0
Wild Type,4,1,111,4.0
Wild Type,6,2,111,4.242640687119285
Wild Type,4,1,111,4.0
Wild Type,8,3,60,4.618802153517007
Wild Type,4,1,60,4.0
Wild Type,12,5,60,5.366563145999495
Wild Type,8,3,60,4.618802153517007
Wild Type,4,1,124,4.0
Wild Type,4,1,37,4.0
Wild Type,12,5,37,5.366563145999495
Wild Type,4,1,159,4.0
Wild Type,12,5,159,5.366563145999495
Wild Type,12,5,159,5.366563145999495
Wild Type,4,1,28,4.0
Wild Type,4,1,28,4.0
Wild Type,4,1,79,4.0
Wild Type,6,2,79,4.242640687119285
Wild Type,6,2,79,4.242640687119285
Wild Type,8,3,79,4.618802153517007
Wild Type,10,4,79,5.0
Wild Type,12,5,60,5.366563145999495
Wild Type,10,4,60,5.0
Wild Type,4,1,60,4.0
Wild Type,4,1,124,4.0
Wild Type,14,6,124,5.715476066494083
Wild Type,4,1,37,4.0
Wild Type,8,3,37,4.618802153517007
Wild Type,4,1,37,4.0
Wild Type,6,2,159,4.242640687119285
Wild Type,8,3,159,4.618802153517007
Wild Type,4,1,159,4.0
Wild Type,4,1,159,4.0
Wild Type,12,5,159,5.366563145999495
Wild Type,10,4,159,5.0
Wild Type,8,3,159,4.618802153517007
Wild Type,6,2,79,4.242640687119285
Wild Type,4,1,79,4.0
Wild Type,12,5,79,5.366563145999495
Wild Type,4,1,79,4.0
Wild Type,4,1,79,4.0
Wild Type,4,1,60,4.0
Wild Type,4,1,60,4.0
Wild Type,6,2,60,4.242640687119285
Wild Type,6,2,60,4.242640687119285
Wild Type,6,2,60,4.242640687119285
Wild Type,4,1,60,4.0
Wild Type,10,4,124,5.0
Wild Type,6,2,124,4.242640687119285
Wild Type,4,1,124,4.0
Wild Type,4,1,124,4.0
Wild Type,4,1,159,4.0
Wild Type,6,2,159,4.242640687119285
Wild Type,4,1,159,4.0
Wild Type,4,1,159,4.0
Wild Type,4,1,159,4.0
