Genotype,Neighbor Count,Fraction Cells
Wild Type,0,0.1891891891891892
Wild Type,1,0.5405405405405406
Wild Type,2,0.2702702702702703
Wild Type,3,0.0
Wild Type,4,0.0
Wild Type,0,0.16352201257861634
Wild Type,1,0.49056603773584906
Wild Type,2,0.34591194968553457
Wild Type,3,0.0
Wild Type,4,0.0
Wild Type,0,0.39285714285714285
Wild Type,1,0.2857142857142857
Wild Type,2,0.32142857142857145
Wild Type,3,0.0
Wild Type,4,0.0
Wild Type,0,0.2097902097902098
Wild Type,1,0.42657342657342656
Wild Type,2,0.35664335664335667
Wild Type,3,0.006993006993006993
Wild Type,4,0.0
Wild Type,0,0.25316455696202533
Wild Type,1,0.4936708860759494
Wild Type,2,0.24050632911392406
Wild Type,3,0.012658227848101266
Wild Type,4,0.0
Wild Type,0,0.23423423423423423
Wild Type,1,0.5135135135135135
Wild Type,2,0.24324324324324326
Wild Type,3,0.009009009009009009
Wild Type,4,0.0
Wild Type,0,0.26666666666666666
Wild Type,1,0.43333333333333335
Wild Type,2,0.3
Wild Type,3,0.0
Wild Type,4,0.0
Wild Type,0,0.20967741935483872
Wild Type,1,0.46774193548387094
Wild Type,2,0.3225806451612903
Wild Type,3,0.0
Wild Type,4,0.0
Wild Type,0,0.5909090909090909
Wild Type,1,0.2727272727272727
Wild Type,2,0.13636363636363635
Wild Type,3,0.0
Wild Type,4,0.0
Wild Type,0,0.23809523809523808
Wild Type,1,0.45714285714285713
Wild Type,2,0.3047619047619048
Wild Type,3,0.0
Wild Type,4,0.0
Wild Type,0,0.3068181818181818
Wild Type,1,0.4772727272727273
Wild Type,2,0.2159090909090909
Wild Type,3,0.0
Wild Type,4,0.0
Wild Type,0,0.26229508196721313
Wild Type,1,0.45901639344262296
Wild Type,2,0.2786885245901639
Wild Type,3,0.0
Wild Type,4,0.0
Wild Type,0,0.32857142857142857
Wild Type,1,0.42857142857142855
Wild Type,2,0.21428571428571427
Wild Type,3,0.02857142857142857
Wild Type,4,0.0
Wild Type,0,0.46808510638297873
Wild Type,1,0.3829787234042553
Wild Type,2,0.14893617021276595
Wild Type,3,0.0
Wild Type,4,0.0
Wild Type,0,0.22727272727272727
Wild Type,1,0.48484848484848486
Wild Type,2,0.2878787878787879
Wild Type,3,0.0
Wild Type,4,0.0
Wild Type,0,0.19736842105263158
Wild Type,1,0.5526315789473685
Wild Type,2,0.25
Wild Type,3,0.0
Wild Type,4,0.0
Wild Type,0,0.3125
Wild Type,1,0.5
Wild Type,2,0.1875
Wild Type,3,0.0
Wild Type,4,0.0
Wild Type,0,0.24324324324324326
Wild Type,1,0.40540540540540543
Wild Type,2,0.35135135135135137
Wild Type,3,0.0
Wild Type,4,0.0
Wild Type,0,0.19548872180451127
Wild Type,1,0.47368421052631576
Wild Type,2,0.3233082706766917
Wild Type,3,0.007518796992481203
Wild Type,4,0.0
Wild Type,0,0.18181818181818182
Wild Type,1,0.36363636363636365
Wild Type,2,0.45454545454545453
Wild Type,3,0.0
Wild Type,4,0.0
Wild Type,0,0.36585365853658536
Wild Type,1,0.43902439024390244
Wild Type,2,0.1951219512195122
Wild Type,3,0.0
Wild Type,4,0.0
Wild Type,0,0.24615384615384617
Wild Type,1,0.5846153846153846
Wild Type,2,0.16923076923076924
Wild Type,3,0.0
Wild Type,4,0.0
Wild Type,0,0.22282608695652173
Wild Type,1,0.4673913043478261
Wild Type,2,0.30978260869565216
Wild Type,3,0.0
Wild Type,4,0.0
Wild Type,0,0.18461538461538463
Wild Type,1,0.5846153846153846
Wild Type,2,0.23076923076923078
Wild Type,3,0.0
Wild Type,4,0.0
Wild Type,0,0.5
Wild Type,1,0.4
Wild Type,2,0.1
Wild Type,3,0.0
Wild Type,4,0.0
Wild Type,0,0.5454545454545454
Wild Type,1,0.36363636363636365
Wild Type,2,0.09090909090909091
Wild Type,3,0.0
Wild Type,4,0.0
Wild Type,0,0.35294117647058826
Wild Type,1,0.4117647058823529
Wild Type,2,0.23529411764705882
Wild Type,3,0.0
Wild Type,4,0.0
Wild Type,0,0.5
Wild Type,1,0.42857142857142855
Wild Type,2,0.07142857142857142
Wild Type,3,0.0
Wild Type,4,0.0
Wild Type,0,0.18181818181818182
Wild Type,1,0.6363636363636364
Wild Type,2,0.18181818181818182
Wild Type,3,0.0
Wild Type,4,0.0
Wild Type,0,0.16091954022988506
Wild Type,1,0.5287356321839081
Wild Type,2,0.3103448275862069
Wild Type,3,0.0
Wild Type,4,0.0
Wild Type,0,0.20930232558139536
Wild Type,1,0.5232558139534884
Wild Type,2,0.22093023255813954
Wild Type,3,0.03488372093023256
Wild Type,4,0.011627906976744186
Wild Type,0,0.4878048780487805
Wild Type,1,0.34146341463414637
Wild Type,2,0.17073170731707318
Wild Type,3,0.0
Wild Type,4,0.0
Wild Type,0,0.25396825396825395
Wild Type,1,0.5079365079365079
Wild Type,2,0.23809523809523808
Wild Type,3,0.0
Wild Type,4,0.0
Wild Type,0,0.1702127659574468
