Treatment,Reproduction Rate,Channel 1 Surrounded,First Update,Last Update
resource-even__channelsense-yes__nlev-onebig,0.00010981001660423987,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,5.153284737669492e-05,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,0.0030879093889580643,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,0.006270971125401602,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,8.143780495235595e-05,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,4.0169160368142324e-05,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,0.0001143947543920284,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,5.5360225598568315e-05,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,0.00010223179880781994,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,4.21991047538073e-05,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,5.188425364216057e-05,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,0.0008850580306090173,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,9.505577342240575e-05,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,0.00010363133098287075,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,4.3787192084140605e-05,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,5.064985972191025e-05,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,2.9330276968061586e-05,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,3.6279300482316806e-05,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,4.2734855424696804e-05,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,3.085945324035904e-05,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,7.341412717625008e-05,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,3.549646306884407e-05,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,6.739949844599647e-05,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,0.001923452450693224,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,4.215047275082859e-05,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,3.7700380102462405e-05,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,9.313206010430791e-05,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,2.4215983323905243e-05,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,8.128418242108436e-05,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,2.4966873221871467e-05,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,9.461977407709329e-05,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,0.00016247369473513813,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,0.00042610031243709687,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,4.470577215383895e-05,True,262144,263168
resource-even__channelsense-yes__nlev-onebig,0.00015716587862366963,True,262144,263168
