Measure,Value,Relationship,First Update,Last Update,Treatment,Seed
Total Resource Shared,8.097410078691322,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Relationship Incidence,14745600.0,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Total Source Stockpile,23199232.34527719,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Resource Transfer Rate,5.491407659702773e-07,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Mean Source Stockpile,1.5732986345267193,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Resource Transfer Ratio,3.490377238296067e-07,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Relationship Frequency,1.0,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Total Resource Shared,4.800390060707542,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Relationship Incidence,3980464.0,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Total Source Stockpile,1933855.5824223561,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Resource Transfer Rate,1.2059875584121706e-06,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Mean Source Stockpile,0.4858367221566019,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Resource Transfer Ratio,2.4822836764080793e-06,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Relationship Frequency,0.2699424913194444,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Total Resource Shared,1.38614312907027,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Relationship Incidence,4478448.0,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Total Source Stockpile,9271073.570128938,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Resource Transfer Rate,3.0951417300597663e-07,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Mean Source Stockpile,2.0701532249852934,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Resource Transfer Ratio,1.495126655331933e-07,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Relationship Frequency,0.30371419270833333,Non-nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Total Resource Shared,0.0,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Relationship Incidence,2777768.0,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Total Source Stockpile,6830064.794218511,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Resource Transfer Rate,0.0,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Mean Source Stockpile,2.458831981007237,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Resource Transfer Ratio,0.0,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Relationship Frequency,0.1883794487847222,Child Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Total Resource Shared,1.5934815299226137,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Relationship Incidence,5555536.0,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Total Source Stockpile,11656257.88220154,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Resource Transfer Rate,2.8682768501952173e-07,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Mean Source Stockpile,2.098133804227268,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Resource Transfer Ratio,1.3670607910255306e-07,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Relationship Frequency,0.3767588975694444,Nuclear Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Total Resource Shared,1.5934815299226137,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Relationship Incidence,2777768.0,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Total Source Stockpile,4826193.08798521,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Resource Transfer Rate,5.736553700390435e-07,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Mean Source Stockpile,1.7374356274480842,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Resource Transfer Ratio,3.3017348762199847e-07,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Relationship Frequency,0.1883794487847222,Parent Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Total Resource Shared,131.96253990371787,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1002
