Measure,Value,Relationship,First Update,Last Update,Treatment,Seed
Total Resource Shared,8.097410078691322,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Relationship Incidence,14745600.0,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Total Source Stockpile,23199232.34527719,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Resource Transfer Rate,5.491407659702773e-07,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Mean Source Stockpile,1.5732986345267193,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Resource Transfer Ratio,3.490377238296067e-07,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Relationship Frequency,1.0,Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Total Resource Shared,5.117785419698441,Nonchannelmate,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Relationship Incidence,4711616.0,Nonchannelmate,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Total Source Stockpile,2271900.892970105,Nonchannelmate,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Resource Transfer Rate,1.0862059683341004e-06,Nonchannelmate,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Mean Source Stockpile,0.48219143770844336,Nonchannelmate,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Resource Transfer Ratio,2.2526395878483174e-06,Nonchannelmate,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Relationship Frequency,0.3195269097222222,Nonchannelmate,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Total Resource Shared,6.186533189777811,Nondirect Cell Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Relationship Incidence,8458912.0,Nondirect Cell Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Total Source Stockpile,11204929.15253204,Nondirect Cell Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Resource Transfer Rate,7.313627556094461e-07,Nondirect Cell Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Mean Source Stockpile,1.3246300650168767,Nondirect Cell Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Resource Transfer Ratio,5.52125737683545e-07,Nondirect Cell Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Relationship Frequency,0.5736566840277778,Nondirect Cell Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Total Resource Shared,8.097410078691322,Nondirect Propagule Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Relationship Incidence,14745600.0,Nondirect Propagule Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Total Source Stockpile,23199232.34527719,Nondirect Propagule Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Resource Transfer Rate,5.491407659702773e-07,Nondirect Propagule Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Mean Source Stockpile,1.5732986345267193,Nondirect Propagule Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Resource Transfer Ratio,3.490377238296067e-07,Nondirect Propagule Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Relationship Frequency,1.0,Nondirect Propagule Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Total Resource Shared,4.800390060707542,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Relationship Incidence,3980464.0,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Total Source Stockpile,1933855.5824223561,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Resource Transfer Rate,1.2059875584121706e-06,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Mean Source Stockpile,0.4858367221566019,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Resource Transfer Ratio,2.4822836764080793e-06,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Relationship Frequency,0.2699424913194444,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Total Resource Shared,2.979624658992885,Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Relationship Incidence,10033984.0,Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Total Source Stockpile,20927331.452317,Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Resource Transfer Rate,2.969532998052304e-07,Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Mean Source Stockpile,2.0856452882839958,Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Resource Transfer Ratio,1.4237955955083537e-07,Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Relationship Frequency,0.6804730902777778,Channelmate 0,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Total Resource Shared,3.2970200179837863,Related Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
Relationship Incidence,10765136.0,Related Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1001
